1024_mb_x_16384_kb,1024_mb_x_2048_kb,1024_mb_x_4096_kb,1024_mb_x_512_kb,1024_mb_x_8192_kb,128_mb_x_16384_kb,128_mb_x_2048_kb,128_mb_x_4096_kb,128_mb_x_512_kb,128_mb_x_8192_kb,2048_mb_x_16384_kb,2048_mb_x_2048_kb,2048_mb_x_4096_kb,2048_mb_x_512_kb,2048_mb_x_8192_kb,256_mb_x_16384_kb,256_mb_x_2048_kb,256_mb_x_4096_kb,256_mb_x_512_kb,256_mb_x_8192_kb,512_mb_x_16384_kb,512_mb_x_2048_kb,512_mb_x_4096_kb,512_mb_x_512_kb,512_mb_x_8192_kb,warm-1024,warm-128,warm-2048,warm-256,warm-512
143.1,88,71.5,87.5,111.2,96,109.3,117.8,175.1,125.7,127,101.2,134.6,129.1,118.6,110.9,82.8,112.1,92.5,94.5,113.1,71.7,82.3,65.8,84.8,86.8,75.65,68.1,90.65,
129.6,55.7,54.6,92.7,88.3,106.5,184.79,172.5,170.7,136.7,150.3,100.2,132.8,80,131.7,117.7,129.1,104.6,108.7,104.2,114.3,66.6,64.3,75.3,55.5,97.65,89.95,63.6,83.8,
119.5,71.6,76.3,70.1,88.9,121.3,83.2,139.6,140.1,128,75.8,91.8,76.8,86.8,130.6,89.8,129.4,66.9,107.9,119.9,85.8,70.1,75.1,49.9,58.8,125.65,86.25,98.35,82.3,
121.9,83.9,117.4,65.2,105.4,118.1,169.7,76.3,163.8,106.3,155.1,114.8,108.1,84.3,53.2,84.6,106.9,75.5,107.2,105.1,95.3,69.4,74.3,62.3,83.4,79.55,80.6,96.85,72.1,
86,99.2,122.2,105.8,102.2,106.4,127.1,108.8,162.9,107.4,69.2,97.3,99.4,93,122.5,106.6,60.1,120.5,136.1,111.9,120,81,68.1,73.3,81.9,81.5,73.3,146.5,96.15,
74,89.3,100.2,99.7,83.9,106,92.4,109.3,106.1,138.9,97.9,94,138.3,127.2,97.4,120.39,68.1,118.5,132.5,119.3,92.5,72,69.3,83.4,71.2,95.1,103.5,134.95,94.9,
84,106.3,108.8,85.2,69.8,114.9,181.2,110.7,140.8,140.2,96.1,90.7,140,96.2,151.8,123.41,88.3,83.4,88.5,127.5,88.9,76.4,86.2,63.8,81.6,135.4,89.7,114.45,98.85,
98.7,104,119.6,76.1,75,124.6,135.6,128.9,163.3,137.9,119.9,82.4,92.8,78.5,114,104.5,89.9,85.8,90.5,128.9,103.1,86,66.8,66.1,85.6,170.35,65.05,122.5,129.6,
98.3,91.6,86.9,84.1,92.1,103.7,66.7,104.4,106.2,85.4,119.7,106.4,111.5,82.9,116.3,70.3,79.1,90.3,117,113.8,111.4,86.2,64.4,89.4,86.4,123.15,80,103.75,119.5,
98.1,78,75.9,80.3,66,126,133.5,88.4,170.1,139.8,103.9,104.8,98.9,80.3,78.6,96.7,65.5,98.6,154.8,105.9,116.4,73.9,67.9,82.9,91.5,162.55,92.85,83.25,180.4,
126.3,96.9,96.7,83.9,59.5,108.5,77.5,72.3,153.7,119.1,102.4,96.2,101.6,66.6,82.4,102.7,94.6,92.2,124.2,115.4,113.7,95.7,95.6,70.7,91.7,143.1,69.95,92.9,122.5,
113,97.4,98.6,93.7,105.1,105.9,183.19,122,100.7,150.4,111.1,109.3,93.1,83.7,58.9,112.7,118.3,79.9,118.3,132,102.9,66,93.8,58.8,88,156.7,71.3,96.55,149.75,
